well,row,col,media,strain,colony,treat,rep
A1,A,1,DSM,pDR110,COL1,IPTG,a
B1,B,1,DSM,SP10,COL1,IPTG,a
C1,C,1,DSM,Goe3,COL1,IPTG,a
D1,D,1,DSM,sigF,COL1,IPTG,a
E1,E,1,DSM,sigG,COL1,IPTG,a
F1,F,1,DSM,Blank,Blank,IPTG,a
G1,G,1,DSM,Blank,Blank,IPTG,b
H1,H,1,DSM,Blank,Blank,IPTG,c
A2,A,2,DSM,pDR110,COL1,IPTG,b
B2,B,2,DSM,SP10,COL1,IPTG,b
C2,C,2,DSM,Goe3,COL1,IPTG,b
D2,D,2,DSM,sigF,COL1,IPTG,b
E2,E,2,DSM,sigG,COL1,IPTG,b
F2,F,2,DSM,pDR110,COL3,IPTG,a
G2,G,2,DSM,pDR110,COL3,IPTG,b
H2,H,2,DSM,pDR110,COL3,IPTG,c
A3,A,3,DSM,pDR110,COL1,IPTG,c
B3,B,3,DSM,SP10,COL1,IPTG,c
C3,C,3,DSM,Goe3,COL1,IPTG,c
D3,D,3,DSM,sigF,COL1,IPTG,c
E3,E,3,DSM,sigG,COL1,IPTG,c
F3,F,3,DSM,SP10,COL3,IPTG,a
G3,G,3,DSM,SP10,COL3,IPTG,b
H3,H,3,DSM,SP10,COL3,IPTG,c
A4,A,4,DSM,pDR110,COL2,IPTG,a
B4,B,4,DSM,SP10,COL2,IPTG,a
C4,C,4,DSM,Goe3,COL2,IPTG,a
D4,D,4,DSM,sigF,COL2,IPTG,a
E4,E,4,DSM,sigG,COL2,IPTG,a
F4,F,4,DSM,Goe3,COL3,IPTG,a
G4,G,4,DSM,Goe3,COL3,IPTG,b
H4,H,4,DSM,Goe3,COL3,IPTG,c
A5,A,5,DSM,pDR110,COL2,IPTG,b
B5,B,5,DSM,SP10,COL2,IPTG,b
C5,C,5,DSM,Goe3,COL2,IPTG,b
D5,D,5,DSM,sigF,COL2,IPTG,b
E5,E,5,DSM,sigG,COL2,IPTG,b
F5,F,5,DSM,sigF,COL3,IPTG,a
G5,G,5,DSM,sigF,COL3,IPTG,b
H5,H,5,DSM,sigF,COL3,IPTG,c
A6,A,6,DSM,pDR110,COL2,IPTG,c
B6,B,6,DSM,SP10,COL2,IPTG,c
C6,C,6,DSM,Goe3,COL2,IPTG,c
D6,D,6,DSM,sigF,COL2,IPTG,c
E6,E,6,DSM,sigG,COL2,IPTG,c
F6,F,6,DSM,sigG,COL3,IPTG,a
G6,G,6,DSM,sigG,COL3,IPTG,b
H6,H,6,DSM,sigG,COL3,IPTG,c
A7,A,7,DSM,pDR110,COL1,noIPTG,a
B7,B,7,DSM,SP10,COL1,noIPTG,a
C7,C,7,DSM,Goe3,COL1,noIPTG,a
D7,D,7,DSM,sigF,COL1,noIPTG,a
E7,E,7,DSM,sigG,COL1,noIPTG,a
F7,F,7,DSM,pDR110,COL3,noIPTG,a
G7,G,7,DSM,pDR110,COL3,noIPTG,b
H7,H,7,DSM,pDR110,COL3,noIPTG,c
A8,A,8,DSM,pDR110,COL1,noIPTG,b
B8,B,8,DSM,SP10,COL1,noIPTG,b
C8,C,8,DSM,Goe3,COL1,noIPTG,b
D8,D,8,DSM,sigF,COL1,noIPTG,b
E8,E,8,DSM,sigG,COL1,noIPTG,b
F8,F,8,DSM,SP10,COL3,noIPTG,a
G8,G,8,DSM,SP10,COL3,noIPTG,b
H8,H,8,DSM,SP10,COL3,noIPTG,c
A9,A,9,DSM,pDR110,COL1,noIPTG,c
B9,B,9,DSM,SP10,COL1,noIPTG,c
C9,C,9,DSM,Goe3,COL1,noIPTG,c
D9,D,9,DSM,sigF,COL1,noIPTG,c
E9,E,9,DSM,sigG,COL1,noIPTG,c
F9,F,9,DSM,Goe3,COL3,noIPTG,a
G9,G,9,DSM,Goe3,COL3,noIPTG,b
H9,H,9,DSM,Goe3,COL3,noIPTG,c
A10,A,10,DSM,pDR110,COL2,noIPTG,a
B10,B,10,DSM,SP10,COL2,noIPTG,a
C10,C,10,DSM,Goe3,COL2,noIPTG,a
D10,D,10,DSM,sigF,COL2,noIPTG,a
E10,E,10,DSM,sigG,COL2,noIPTG,a
F10,F,10,DSM,sigF,COL3,noIPTG,a
G10,G,10,DSM,sigF,COL3,noIPTG,b
H10,H,10,DSM,sigF,COL3,noIPTG,c
A11,A,11,DSM,pDR110,COL2,noIPTG,b
B11,B,11,DSM,SP10,COL2,noIPTG,b
C11,C,11,DSM,Goe3,COL2,noIPTG,b
D11,D,11,DSM,sigF,COL2,noIPTG,b
E11,E,11,DSM,sigG,COL2,noIPTG,b
F11,F,11,DSM,sigG,COL3,noIPTG,a
G11,G,11,DSM,sigG,COL3,noIPTG,b
H11,H,11,DSM,sigG,COL3,noIPTG,c
A12,A,12,DSM,pDR110,COL2,noIPTG,c
B12,B,12,DSM,SP10,COL2,noIPTG,c
C12,C,12,DSM,Goe3,COL2,noIPTG,c
D12,D,12,DSM,sigF,COL2,noIPTG,c
E12,E,12,DSM,sigG,COL2,noIPTG,c
F12,F,12,DSM,Blank,Blank,noIPTG,a
G12,G,12,DSM,Blank,Blank,noIPTG,b
H12,H,12,DSM,Blank,Blank,noIPTG,c
